timestamp,angle_deg,displacement_nm
2025-05-19T12:13:08.722365,257.7352262721076,0.0
2025-05-19T12:13:08.852367,258.0012335285656,2.660072564580105
2025-05-19T12:13:08.903445,258.0012335285656,2.660072564580105
2025-05-19T12:13:08.958296,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.003041,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.071195,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.167947,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.219144,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.267016,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.323141,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.371606,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.439149,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.533735,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.590581,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.641726,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.694583,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.752198,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.820022,257.85194453881445,1.167182667068687
2025-05-19T12:13:09.957811,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.017648,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.075154,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.128011,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.189594,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.258409,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.356540,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.410695,257.85194453881445,1.167182667068687
2025-05-19T12:13:10.477515,257.7352262721076,0.0
2025-05-19T12:13:10.537491,257.7352262721076,0.0
2025-05-19T12:13:10.588353,257.7352262721076,0.0
2025-05-19T12:13:10.707048,257.7352262721076,0.0
2025-05-19T12:13:10.759903,257.7352262721076,0.0
2025-05-19T12:13:10.819252,257.7352262721076,0.0
2025-05-19T12:13:10.869579,257.7352262721076,0.0
2025-05-19T12:13:10.922437,257.7352262721076,0.0
2025-05-19T12:13:10.989719,257.7352262721076,0.0
2025-05-19T12:13:11.095432,257.7352262721076,0.0
2025-05-19T12:13:11.169778,257.7352262721076,0.0
2025-05-19T12:13:11.222636,257.7352262721076,0.0
2025-05-19T12:13:11.272320,257.7352262721076,0.0
2025-05-19T12:13:11.322949,257.7352262721076,0.0
2025-05-19T12:13:11.375693,257.7352262721076,0.0
2025-05-19T12:13:11.472256,257.7352262721076,0.0
2025-05-19T12:13:11.539045,257.7352262721076,0.0
2025-05-19T12:13:11.586914,257.7352262721076,0.0
2025-05-19T12:13:11.633923,257.7352262721076,0.0
2025-05-19T12:13:11.684739,257.7352262721076,0.0
2025-05-19T12:13:11.750921,257.7352262721076,0.0
2025-05-19T12:13:11.816740,257.85194453881445,1.167182667068687
2025-05-19T12:13:11.902170,257.85194453881445,1.167182667068687
2025-05-19T12:13:11.956365,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.006232,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.057423,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.114271,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.169013,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.270753,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.334587,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.386393,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.441372,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.500215,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.581994,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.660311,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.724382,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.776242,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.840181,257.85194453881445,1.167182667068687
2025-05-19T12:13:12.891638,257.85194453881445,1.167182667068687
2025-05-19T12:13:13.003197,257.85194453881445,1.167182667068687
2025-05-19T12:13:13.064945,257.85194453881445,1.167182667068687
2025-05-19T12:13:13.126087,257.85194453881445,1.167182667068687
2025-05-19T12:13:13.188475,257.85194453881445,1.167182667068687
2025-05-19T12:13:13.240118,257.7352262721076,0.0
2025-05-19T12:13:13.294007,257.7352262721076,0.0
2025-05-19T12:13:13.415646,257.7352262721076,0.0
2025-05-19T12:13:13.492264,257.7352262721076,0.0
2025-05-19T12:13:13.555750,257.7352262721076,0.0
2025-05-19T12:13:13.613593,257.7352262721076,0.0
2025-05-19T12:13:13.671256,257.7352262721076,0.0
2025-05-19T12:13:13.718756,257.7352262721076,0.0
2025-05-19T12:13:13.788569,257.7352262721076,0.0
2025-05-19T12:13:13.875647,257.7352262721076,0.0
2025-05-19T12:13:13.934137,257.7352262721076,0.0
2025-05-19T12:13:13.987994,257.7352262721076,0.0
2025-05-19T12:13:14.035931,257.7352262721076,0.0
2025-05-19T12:13:14.089786,257.7352262721076,0.0
2025-05-19T12:13:14.162370,257.7352262721076,0.0
2025-05-19T12:13:14.243734,257.7352262721076,0.0
2025-05-19T12:13:14.302578,257.7352262721076,0.0
2025-05-19T12:13:14.362483,257.7352262721076,0.0
2025-05-19T12:13:14.416342,257.7352262721076,0.0
2025-05-19T12:13:14.469657,257.7352262721076,0.0
2025-05-19T12:13:14.533487,257.7352262721076,0.0
2025-05-19T12:13:14.621988,257.85194453881445,1.167182667068687
2025-05-19T12:13:14.676106,257.85194453881445,1.167182667068687
